ا	ʾ/ʔ/
ب	b/b/
ت	t/t/
ث	th/θ/
ج	j/d͡ʒ/
ح	ḥ/ħ/
خ	kh/x/
د	d/d/
ذ	dh/ð/
ر	r/r/
ز	z/z/
س	s/s/
ش	sh/ʃ/
ص	ṣ/sˤ/
ض	ḍ/dˤ/
ط	ṭ/tˤ/
ظ	ẓ/ðˤ/
ع	ʿ/ʕ/
غ	gh/ɣ/
ف	f/f/
ق	q/q/
ك	k/k/
ل	l/l/
م	m/m/
ن	n/n/
ه	h/h/
و	w/w/, /uː/, ∅
ي	y/j/, /iː/
ء	ʾ/ʔ/
क	ka
ख	kh-[kʰ]
ग	g-
घ	gh-[ɡʱ]
ङ	ṅ-[ŋ]
च	c-[tʃ]
छ	ch-[tʃʰ]
ज	j-[dʒ]
झ	jh-[dʒʱ]
ञ	ñ-[ɲ]
ट	ṭ-[ʈ]
ठ	ṭh-[ʈʰ]
ड	ḍ-[ɖ]
ढ	ḍh-[ɖʱ]
ण	ṇ-[ɳ]
त	t-[t̪]
थ	th-[t̪ʰ]
द	d-[d̪]
ध	dh-[d̪ʱ]
न	n-
प	p-
फ	ph-[pʰ]
ब	b-
भ	bh-[bʱ]
म	m-
य	y-[j]
र	r-
ल	l-
व	v-[ʋ]
श	ś-[ʃ]
ष	ṣ-[ʂ]
स	s-
ह	h-[ɦ]
अ	a[ɐ]
का	kā
कॅ	kæ
कॉ	kɒ
कि	ki
की	kī
कु	ku
कू	kū
कॆ	ke
के	kē
कै	kai
कॊ	ko
को	kō
कौ	kau
कृ	kr̥
कॄ	kr̥̄
कॢ	kl̥
कॣ	kl̥̄
कं	kaṁ
कः	kaḥ
क्	k
