க்	k - vallinam - [k], [ɡ], [x], [ɣ], [ɦ]
ங்	ṅ - mellinam - [ŋ]
ச்	c - vallinam - [t͡ɕ], [d͡ʑ], [s], [ɕ]
ஞ்	ñ - mellinam - [ɲ]
ட்	ṭ - vallinam - [ʈ], [ɖ], [ɽ]
ண்	ṇ - mellinam - [ɳ]
த்	t - vallinam - [t̪], [d̪], [ð]
ந்	n - mellinam - [n̪]
ப்	p - vallinam - [p], [b], [β]
ம்	m - mellinam - [m]
ய்	y - idaiyinam - [j]
ர்	r - idaiyinam - [ɾ]
ல்	l - idaiyinam - [l]
வ்	v - idaiyinam - [ʋ]
ழ்	ḻ - idaiyinam - [ɻ]
ள்	ḷ - idaiyinam - [ɭ]
ற்	ṟ - vallinam - [r], [t], [d]
ன்	ṉ - mellinam - [n]
அ	a - [ɐ]
ஆ	ā - [aː]
இ	i - [i]
ஈ	ī - [iː]
உ	u - [u], [ɯ]
ஊ	ū - [uː]
எ	e - [e]
ஏ	ē - [eː]
ஐ	ai - [aɪ]
ஒ	o - [o]
ஓ	ō - [oː]
ஔ	au - [aʊ]
க	ka - [ka]
கா	kā - [kaː]
கி	ki - [ki]
கீ	kī - [kiː]
கு	ku - [ku], [kɯ]
கூ	kū - [kuː]
கெ	ke - [ke]
கே	kē - [keː]
கை	kai - [kaɪ]
கொ	ko - [ko]
கோ	kō - [koː]
கௌ	kau - [kaʊ]
